wavelength,coeff
464.7027,1.0521108992709158
464.71808,1.0520137569432384
464.73349,1.0519164714263238
464.74887,1.0518194214757415
464.76428,1.0517222284500995
464.77966,1.0516252707449063
464.79507,1.0515281700786978
464.81046,1.051431241520865
464.82587,1.0513342331124382
464.84125,1.051237459533759
464.85666,1.0511405432217993
464.87207,1.0510436729537025
464.88745,1.0509470371482694
464.90286,1.0508502587800403
464.91824,1.0507537146303019
464.93365,1.0506570280312235
464.94904,1.0505605127086843
464.96445,1.0504639177780315
464.97983,1.0503675565785848
464.99524,1.0502710531563546
465.01062,1.0501747832222919
465.02603,1.0500783711785104
465.04141,1.049982192380235
465.05682,1.0498858715851755
465.0722,1.049789783793335
465.08762,1.049693491686059
465.103,1.0495974948010398
465.11841,1.049501356144757
465.13379000000003,1.0494054500081604
